year,region,industry,subsector_letter,info_type,data
2004,UK,Professional and Business Services,M,Average Total Weekly Hours,65342943.16843727
2004,UK,Professional and Business Services,N,Average Total Weekly Hours,60320559.82218549
2004,UK,Public Aadmin and Defence,O,Average Total Weekly Hours,55602273.941957705
2004,UK,Education and Health,P,Average Total Weekly Hours,57912528.583008364
2004,UK,Education and Health,Q,Average Total Weekly Hours,88864516.65975852
2004,UK,Leisure and Entertainment,R,Average Total Weekly Hours,19782188.369549096
2004,UK,Other Services,S and T,Average Total Weekly Hours,23993245.351167757
2005,UK,All Industries,All Industries,Average Total Weekly Hours,927870601.048175
2005,UK,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,25252756.43427465
2005,UK,Manufacturing,C,Average Total Weekly Hours,106789616.50235075
2005,UK,Construction,F,Average Total Weekly Hours,77178658.16098663
2005,UK,Trade,G,Average Total Weekly Hours,145020835.84304538
2005,UK,Transport,H,Average Total Weekly Hours,49862961.485567465
2005,UK,Leisure and Entertainment,I,Average Total Weekly Hours,49012746.81415014
2005,UK,Telecoms,J,Average Total Weekly Hours,38485609.10361834
2005,UK,Financial Services,K,Average Total Weekly Hours,37105748.12871788
2005,UK,Financial Services,L,Average Total Weekly Hours,11131443.74565856
2005,UK,Professional and Business Services,M,Average Total Weekly Hours,69811240.33350752
2005,UK,Professional and Business Services,N,Average Total Weekly Hours,63342540.83938415
2005,UK,Public Aadmin and Defence,O,Average Total Weekly Hours,56348438.36465584
2005,UK,Education and Health,P,Average Total Weekly Hours,60860353.02449922
2005,UK,Education and Health,Q,Average Total Weekly Hours,93293768.13554248
2005,UK,Leisure and Entertainment,R,Average Total Weekly Hours,20349141.097329322
2005,UK,Other Services,S and T,Average Total Weekly Hours,24024743.034886636
2006,UK,All Industries,All Industries,Average Total Weekly Hours,933957804.4980749
2006,UK,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,25595368.80344377
2006,UK,Manufacturing,C,Average Total Weekly Hours,103628991.24150702
2006,UK,Construction,F,Average Total Weekly Hours,78169769.9917022
2006,UK,Trade,G,Average Total Weekly Hours,142520860.20776126
2006,UK,Transport,H,Average Total Weekly Hours,50315773.82297127
2006,UK,Leisure and Entertainment,I,Average Total Weekly Hours,49799020.66440877
2006,UK,Telecoms,J,Average Total Weekly Hours,39249773.47306207
2006,UK,Financial Services,K,Average Total Weekly Hours,36931238.20367588
2006,UK,Financial Services,L,Average Total Weekly Hours,12560067.373197097
2006,UK,Professional and Business Services,M,Average Total Weekly Hours,72000999.61024596
2006,UK,Professional and Business Services,N,Average Total Weekly Hours,64928001.82789699
2006,UK,Public Aadmin and Defence,O,Average Total Weekly Hours,55938934.28335364
2006,UK,Education and Health,P,Average Total Weekly Hours,62074045.493337944
2006,UK,Education and Health,Q,Average Total Weekly Hours,94749444.85431762
2006,UK,Leisure and Entertainment,R,Average Total Weekly Hours,20893321.9920493
2006,UK,Other Services,S and T,Average Total Weekly Hours,24602192.655144148
2007,UK,All Industries,All Industries,Average Total Weekly Hours,942790206.9560001
2007,UK,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,25530180.763061102
2007,UK,Manufacturing,C,Average Total Weekly Hours,101563022.57459658
2007,UK,Construction,F,Average Total Weekly Hours,80458874.98279276
2007,UK,Trade,G,Average Total Weekly Hours,142884289.2098812
